n,p,R2_random,MAE_random,R2_county,MAE_county,set
2474,5,0.6762388506203367,1.2146880871457444,0.5774338585549814,1.434201804263609,A. PRD 5 core (LA only)
9070,5,0.6882578861605919,1.2454799410474076,0.5959205905383844,1.454173989637684,"B. PRD 5 core (statewide, NaN)"
9070,4,0.668780085673309,1.2937540630521427,0.5870448164051336,1.4750981749142411,"C. PRD 4 core, no canopy"
9070,7,0.7097391792312462,1.1962938659272617,0.6425827329333882,1.3597781755853253,D. Core4 + socioeconomic
9070,15,0.7490911826550761,1.0950674615752736,0.649497247108063,1.341068962627104,E. RECOMMENDED (core4+socio+air+access)
9070,17,0.7531621610118558,1.0818278648729756,0.62744582876118,1.385133643839036,F. E + county economy
9070,17,0.7580546343370419,1.0742147821680843,0.6481255836869642,1.341566442807165,G. E + lat/lon
9070,71,0.7798847728381215,1.0278918674893782,0.6652877203831693,1.3184784389777642,H. Kitchen sink (all non-leaky)
